phi,psi,number
-119.346,-180,0.002
-119.253,-179.253,0.002
-119.253,-178.747,0.002
-119.128,-178,0.002
-118.846,-177.154,0.002
-118,-176.308,0.002
-117.877,-176.123,0.002
-117.795,-176,0.002
-117.692,-175.692,0.002
-117.346,-174.654,0.002
-117.128,-174,0.002
-116.752,-173.248,0.002
-116,-172.872,0.002
-115.564,-172.436,0.002
-115.128,-172,0.002
-114.752,-171.248,0.002
-114,-170.872,0.002
-113.564,-170.436,0.002
-113.128,-170,0.002
-112.846,-169.154,0.002
-112,-168.308,0.002
-111.877,-168.123,0.002
-111.795,-168,0.002
-111.589,-167.589,0.002
-111.253,-166.747,0.002
-110.692,-166,0.002
-110.395,-165.605,0.002
-110,-165.308,0.002
-109.346,-164.654,0.002
-108.692,-164,0.002
-108.461,-163.539,0.002
-108,-163.308,0.002
-107.346,-162.654,0.002
-106.692,-162,0.002
-106.461,-161.539,0.002
-106,-161.308,0.002
-105.346,-160.654,0.002
-104.692,-160,0.002
-104.461,-159.539,0.002
-104,-159.308,0.002
-103.419,-158.581,0.002
-103.128,-158,0.002
-102.752,-157.248,0.002
-102,-156.872,0.002
-101.477,-156.523,0.002
-101.128,-156,0.002
-100.846,-155.154,0.002
-100,-154.308,0.002
-99.877,-154.123,0.002
-99.795,-154,0.002
-99.589,-153.589,0.002
-99.253,-152.747,0.002
-98.692,-152,0.002
-98.461,-151.539,0.002
-98,-151.308,0.002
-97.346,-150.654,0.002
-96.692,-150,0.002
-96.461,-149.539,0.002
-96,-149.308,0.002
-95.346,-148.654,0.002
-94.692,-148,0.002
-94.461,-147.539,0.002
-94,-147.308,0.002
-93.253,-146.747,0.002
-92.692,-146,0.002
-92.461,-145.539,0.002
-92,-145.308,0.002
-91.077,-145.077,0.002
-90.967,-145.033,0.002
-90,-144.872,0.002
-89.419,-144.581,0.002
-88.692,-144,0.002
-88.461,-143.539,0.002
-88,-143.308,0.002
-87.077,-143.077,0.002
-86.967,-143.033,0.002
-86,-142.872,0.002
-85.346,-142.654,0.002
-84.308,-142.308,0.002
-84,-142.205,0.002
-83.824,-142.176,0.002
-83.384,-142,0.002
-82.554,-141.446,0.002
-82,-141.308,0.002
-81.308,-141.308,0.002
-80.692,-141.308,0.002
-80,-141.308,0.002
-79.308,-141.308,0.002
-78.692,-141.308,0.002
-78,-141.308,0.002
-77.308,-141.308,0.002
-76.692,-141.308,0.002
-76,-141.308,0.002
-75.308,-141.308,0.002
-74.692,-141.308,0.002
-74,-141.308,0.002
-73.539,-141.539,0.002
-73.308,-142,0.002
-72.581,-142.581,0.002
-72,-142.872,0.002
-71.033,-143.033,0.002
-70.923,-143.077,0.002
-70,-143.308,0.002
-69.539,-143.539,0.002
-69.308,-144,0.002
-68.581,-144.581,0.002
-68,-144.872,0.002
-67.154,-145.154,0.002
-66.308,-146,0.002
-66.176,-146.176,0.002
-66,-146.308,0.002
-65.033,-147.033,0.002
-64.308,-148,0.002
-64.176,-148.176,0.002
-64,-148.308,0.002
-63.154,-149.154,0.002
-62.872,-150,0.002
-62.523,-150.523,0.002
-62,-150.872,0.002
-61.248,-151.248,0.002
-60.872,-152,0.002
-60.581,-152.581,0.002
-60,-153.308,0.002
-59.539,-153.539,0.002
-59.308,-154,0.002
-59.077,-154.923,0.002
-59.033,-155.033,0.002
-58.872,-156,0.002
-58.654,-156.654,0.002
-58.308,-157.692,0.002
-58.205,-158,0.002
-58.123,-158.123,0.002
-58,-158.308,0.002
-57.154,-159.154,0.002
-56.872,-160,0.002
-56.747,-160.747,0.002
-56.747,-161.253,0.002
-56.654,-162,0.002
-56.436,-162.436,0.002
-56,-163.308,0.002
-55.605,-163.605,0.002
-55.308,-164,0.002
-55.077,-164.923,0.002
-55.033,-165.033,0.002
-54.872,-166,0.002
-54.581,-166.581,0.002
-54,-167.308,0.002
-53.605,-167.605,0.002
-53.308,-168,0.002
-53.077,-168.923,0.002
-53.033,-169.033,0.002
-52.872,-170,0.002
-52.581,-170.581,0.002
-52,-171.308,0.002
-51.605,-171.605,0.002
-51.308,-172,0.002
-51.077,-172.923,0.002
-51.033,-173.033,0.002
-50.872,-174,0.002
-50.436,-174.436,0.002
-50,-174.872,0.002
-49.248,-175.248,0.002
-48.872,-176,0.002
-48.581,-176.581,0.002
-48,-177.308,0.002
-47.605,-177.605,0.002
-47.308,-178,0.002
-47.077,-178.923,0.002
-47.033,-179.033,0.002
-46.872,-180,0.002
