phi,psi,number
-57.272,180,0.02
-56.802,179.198,0.02
-56.324,178.324,0.02
-56.143,178,0.02
-56.075,177.925,0.02
-56,177.801,0.02
-55.147,176.853,0.02
-54.604,176,0.02
-54.331,175.669,0.02
-54,175.195,0.02
-53.427,174.573,0.02
-53.104,174,0.02
-52.649,173.351,0.02
-52,172.423,0.02
-51.787,172.213,0.02
-51.662,172,0.02
-50.986,171.014,0.02
-50.951,170.951,0.02
-50.394,170,0.02
-50.22,169.78,0.02
-50,169.378,0.02
-49.436,168.564,0.02
-49.204,168,0.02
-48.827,167.173,0.02
-48.555,166.555,0.02
-48.308,166,0.02
-48.185,165.815,0.02
-48,165.434,0.02
-47.427,164.573,0.02
-47.204,164,0.02
-46.874,163.126,0.02
-46.72,162.72,0.02
-46.448,162,0.02
-46.325,161.675,0.02
-46,160.814,0.02
-45.731,160.269,0.02
-45.645,160,0.02
-45.497,159.497,0.02
-45.23,158.77,0.02
-45.045,158,0.02
-44.843,157.157,0.02
-44.721,156.721,0.02
-44.537,156,0.02
-44.465,155.535,0.02
-44.227,154.227,0.02
-44.19,154,0.02
-44.163,153.837,0.02
-44,152.834,0.02
-43.859,152.141,0.02
-43.838,152,0.02
-43.826,151.826,0.02
-43.667,150.333,0.02
-43.645,150,0.02
-43.645,149.645,0.02
-43.645,148.355,0.02
-43.645,148,0.02
-43.67,147.67,0.02
-43.828,146.172,0.02
-43.842,146,0.02
-43.863,145.863,0.02
-44,145.27,0.02
-44.197,144.197,0.02
-44.231,144,0.02
-44.303,143.697,0.02
-44.579,142.579,0.02
-44.715,142,0.02
-45.044,141.044,0.02
-45.13,140.87,0.02
-45.504,140,0.02
-45.64,139.64,0.02
-46,138.951,0.02
-46.284,138.284,0.02
-46.425,138,0.02
-46.979,137.021,0.02
-46.994,136.994,0.02
-47.605,136,0.02
-47.748,135.748,0.02
-48,135.506,0.02
-48.675,134.675,0.02
-49.205,134,0.02
-49.536,133.536,0.02
-50,133.156,0.02
-50.574,132.574,0.02
-51.09,132,0.02
-51.491,131.491,0.02
-52,131.139,0.02
-52.639,130.639,0.02
-53.454,130,0.02
-53.707,129.707,0.02
-54,129.52,0.02
-54.809,128.809,0.02
-55.791,128,0.02
-55.885,127.885,0.02
-56,127.805,0.02
-56.967,126.967,0.02
-57.23,126.77,0.02
-58,126.181,0.02
-58.091,126.091,0.02
-58.199,126,0.02
-59.069,125.069,0.02
-60,124.308,0.02
-60.156,124.156,0.02
-60.308,124,0.02
-61.054,123.054,0.02
-62,122.139,0.02
-62.071,122.071,0.02
-62.134,122,0.02
-62.555,121.445,0.02
-62.933,120.933,0.02
-63.775,120,0.02
-63.863,119.863,0.02
-64,119.735,0.02
-64.787,118.787,0.02
-65.468,118,0.02
-65.689,117.689,0.02
-66,117.423,0.02
-66.759,116.759,0.02
-67.708,116,0.02
-67.852,115.852,0.02
-68,115.757,0.02
-68.958,114.958,0.02
-69.184,114.816,0.02
-70,114.272,0.02
-70.179,114.179,0.02
-70.453,114,0.02
-71.353,113.353,0.02
-72,112.969,0.02
-72.679,112.679,0.02
-73.667,112.333,0.02
-74,112.205,0.02
-74.158,112.158,0.02
-74.56,112,0.02
-75.572,111.572,0.02
-76,111.434,0.02
-76.773,111.227,0.02
-77.128,111.128,0.02
-78,110.902,0.02
-78.793,110.793,0.02
-79.297,110.703,0.02
-80,110.599,0.02
-80.599,110.599,0.02
-81.401,110.599,0.02
-82,110.599,0.02
-82.673,110.673,0.02
-83.261,110.739,0.02
-84,110.821,0.02
-84.936,111.064,0.02
-85.12,111.12,0.02
-86,111.366,0.02
-86.459,111.541,0.02
-87.584,112,0.02
-87.886,112.114,0.02
-88,112.149,0.02
-88.297,112.297,0.02
-89.289,112.711,0.02
-90,113.208,0.02
-90.466,113.534,0.02
-91.131,114,0.02
-91.671,114.329,0.02
-92,114.507,0.02
-92.815,115.185,0.02
-93.558,116,0.02
-93.752,116.248,0.02
-94,116.484,0.02
-94.758,117.242,0.02
-95.327,118,0.02
-95.575,118.425,0.02
-96,119.077,0.02
-96.384,119.616,0.02
-96.602,120,0.02
-97.094,120.906,0.02
-97.215,121.215,0.02
-97.566,122,0.02
-97.68,122.32,0.02
-98,123.013,0.02
-98.329,123.671,0.02
-98.439,124,0.02
-98.677,124.677,0.02
-98.849,125.151,0.02
-99.137,126,0.02
-99.289,126.711,0.02
-99.41,127.41,0.02
-99.528,128,0.02
-99.612,128.388,0.02
-99.993,129.993,0.02
-99.994,130,0.02
-99.995,130.005,0.02
-100,130.053,0.02
-100.195,131.805,0.02
-100.216,132,0.02
-100.254,132.254,0.02
-100.48,133.52,0.02
-100.546,134,0.02
-100.689,134.689,0.02
-100.816,135.184,0.02
-100.965,136,0.02
-101.113,136.887,0.02
-101.152,137.152,0.02
-101.289,138,0.02
-101.372,138.628,0.02
-101.47,139.47,0.02
-101.538,140,0.02
-101.606,140.394,0.02
-101.857,141.857,0.02
-101.881,142,0.02
