phi,psi,number
-81.748,78,0.02
-80.706,77.294,0.02
-80,76.797,0.02
-79.614,76.386,0.02
-79.28,76,0.02
-78.642,75.358,0.02
-78,74.617,0.02
-77.762,74.238,0.02
-77.624,74,0.02
-77.038,73.038,0.02
-77.009,72.991,0.02
-76.479,72,0.02
-76.31,71.69,0.02
-76,70.982,0.02
-75.721,70.279,0.02
-75.623,70,0.02
-75.419,69.419,0.02
-75.182,68.818,0.02
-74.931,68,0.02
-74.717,67.283,0.02
-74.567,66.567,0.02
-74.419,66,0.02
-74.341,65.659,0.02
-74.019,64.019,0.02
-74.015,64,0.02
-74.013,63.987,0.02
-74,63.897,0.02
-73.763,62.237,0.02
-73.737,62,0.02
-73.709,61.709,0.02
-73.558,60.442,0.02
-73.518,60,0.02
-73.491,59.491,0.02
-73.434,58.566,0.02
-73.405,58,0.02
-73.406,57.406,0.02
-73.413,56.587,0.02
-73.414,56,0.02
-73.45,55.45,0.02
-73.538,54.462,0.02
-73.57,54,0.02
-73.618,53.618,0.02
-73.857,52.143,0.02
-73.876,52,0.02
-73.896,51.896,0.02
-74,51.498,0.02
-74.293,50.293,0.02
-74.379,50,0.02
-74.563,49.437,0.02
-74.757,48.757,0.02
-75.037,48,0.02
-75.302,47.302,0.02
-75.783,46.217,0.02
-75.873,46,0.02
-75.907,45.907,0.02
-76,45.698,0.02
-76.541,44.541,0.02
-76.85,44,0.02
-77.214,43.214,0.02
-77.684,42.316,0.02
-77.843,42,0.02
-77.887,41.887,0.02
-78,41.605,0.02
-78.487,40.487,0.02
-78.707,40,0.02
-78.95,39.05,0.02
-78.97,38.97,0.02
-79.225,38,0.02
-79.302,37.302,0.02
-79.366,36.634,0.02
-79.435,36,0.02
-79.404,35.404,0.02
-79.348,34.652,0.02
-79.316,34,0.02
-79.193,33.193,0.02
-79.132,32.868,0.02
-79.01,32,0.02
-78.838,31.162,0.02
-78.789,30.789,0.02
-78.646,30,0.02
-78.499,29.501,0.02
-78.285,28.285,0.02
-78.216,28,0.02
-78.155,27.845,0.02
-78,27.234,0.02
-77.715,26.285,0.02
-77.654,26,0.02
-77.412,25.412,0.02
-77.147,24.853,0.02
-76.861,24,0.02
-76.557,23.443,0.02
-76.084,22.084,0.02
-76.048,22,0.02
-76.029,21.971,0.02
-76,21.906,0.02
-75.274,20.726,0.02
-74.957,20,0.02
-74.574,19.426,0.02
-74,18.093,0.02
-73.963,18.037,0.02
-73.947,18,0.02
-73.827,17.827,0.02
-73.125,16.875,0.02
-72.674,16,0.02
-72.391,15.609,0.02
-72,14.746,0.02
-71.692,14.308,0.02
-71.555,14,0.02
-70.935,13.065,0.02
-70.848,12.848,0.02
-70.439,12,0.02
-70.249,11.751,0.02
-70,11.197,0.02
-69.483,10.517,0.02
-69.242,10,0.02
-68.691,9.309,0.02
-68.044,8.044,0.02
-68.018,8,0.02
-68.01,7.99,0.02
-68,7.97,0.02
-67.091,6.909,0.02
-66.551,6,0.02
-66.293,5.707,0.02
-66,5.186,0.02
-65.44,4.56,0.02
-65.12,4,0.02
-64.591,3.409,0.02
-64,2.392,0.02
-63.803,2.197,0.02
-63.686,2,0.02
-62.859,1.141,0.02
-62.462,0.462,0.02
-62.161,0,0.02
-62.08,-0.08,0.02
-62,-0.203,0.02
-61.086,-1.086,0.02
-60.487,-2,0.02
-60.242,-2.242,0.02
-60,-2.631,0.02
-59.303,-3.303,0.02
-58.877,-4,0.02
-58.452,-4.452,0.02
-58,-5.263,0.02
-57.631,-5.631,0.02
-57.425,-6,0.02
-56.763,-6.763,0.02
-56.331,-7.669,0.02
-56.143,-8,0.02
-56.08,-8.08,0.02
-56,-8.24,0.02
-55.156,-9.156,0.02
-54.684,-10,0.02
-54.377,-10.377,0.02
-54,-11.197,0.02
-53.627,-11.627,0.02
-53.443,-12,0.02
-52.854,-12.854,0.02
-52.682,-13.318,0.02
-52.361,-14,0.02
-52.215,-14.215,0.02
-52,-14.785,0.02
-51.491,-15.491,0.02
-51.286,-16,0.02
-50.789,-16.789,0.02
-50.572,-17.428,0.02
-50.321,-18,0.02
-50.198,-18.198,0.02
-50,-18.713,0.02
-49.445,-19.445,0.02
-49.207,-20,0.02
-48.727,-20.727,0.02
-48.392,-21.608,0.02
-48.208,-22,0.02
-48.131,-22.131,0.02
-48,-22.483,0.02
-47.364,-23.364,0.02
-47.091,-24,0.02
-46.692,-24.692,0.02
-46.354,-25.646,0.02
-46.201,-26,0.02
-46.136,-26.136,0.02
-46,-26.571,0.02
-45.467,-27.467,0.02
-45.272,-28,0.02
-44.887,-28.887,0.02
-44.799,-29.201,0.02
-44.519,-30,0.02
-44.367,-30.367,0.02
-44,-31.694,0.02
-43.894,-31.894,0.02
-43.859,-32,0.02
-43.765,-32.235,0.02
-43.277,-33.277,0.02
-43.045,-34,0.02
-42.754,-34.754,0.02
-42.549,-35.451,0.02
-42.363,-36,0.02
-42.257,-36.257,0.02
-42,-37.065,0.02
-41.67,-37.67,0.02
-41.549,-38,0.02
-41.152,-38.848,0.02
-41.05,-39.05,0.02
-40.666,-40,0.02
-40.459,-40.459,0.02
-40,-41.754,0.02
-39.909,-41.909,0.02
-39.873,-42,0.02
-39.785,-42.215,0.02
-39.292,-43.292,0.02
-39.047,-44,0.02
-38.806,-44.806,0.02
-38.677,-45.323,0.02
-38.489,-46,0.02
-38.409,-46.409,0.02
-38.163,-47.837,0.02
-38.133,-48,0.02
-38.123,-48.123,0.02
-38,-49.311,0.02
-37.908,-49.908,0.02
-37.896,-50,0.02
-37.892,-50.108,0.02
-37.862,-51.862,0.02
-37.856,-52,0.02
-37.863,-52.137,0.02
-38,-53.56,0.02
-38.029,-53.971,0.02
-38.034,-54,0.02
-38.044,-54.044,0.02
-38.318,-55.682,0.02
-38.405,-56,0.02
-38.593,-56.593,0.02
-38.755,-57.245,0.02
-39.049,-58,0.02
-39.335,-58.665,0.02
-40,-59.865,0.02
-40.043,-59.957,0.02
-40.072,-60,0.02
-40.217,-60.217,0.02
-40.819,-61.181,0.02
-41.52,-62,0.02
-41.74,-62.26,0.02
-42,-62.505,0.02
-42.72,-63.28,0.02
-43.679,-64,0.02
-43.854,-64.146,0.02
-44,-64.236,0.02
-44.83,-64.83,0.02
-45.024,-64.976,0.02
-46,-65.528,0.02
-46.297,-65.703,0.02
-47.033,-66,0.02
-47.68,-66.32,0.02
-48,-66.432,0.02
-48.682,-66.682,0.02
-49.131,-66.869,0.02
-50,-67.14,0.02
-50.698,-67.302,0.02
-51.418,-67.418,0.02
-52,-67.538,0.02
-52.41,-67.59,0.02
-53.706,-67.706,0.02
-54,-67.74,0.02
-54.247,-67.753,0.02
-55.796,-67.796,0.02
-56,-67.806,0.02
-56.198,-67.802,0.02
-57.793,-67.793,0.02
-58,-67.789,0.02
-58.223,-67.777,0.02
-59.743,-67.743,0.02
-60,-67.729,0.02
-60.291,-67.709,0.02
-61.678,-67.678,0.02
-62,-67.654,0.02
-62.379,-67.621,0.02
-63.606,-67.606,0.02
-64,-67.566,0.02
-64.459,-67.541,0.02
-65.535,-67.535,0.02
-66,-67.506,0.02
-66.54,-67.46,0.02
-67.442,-67.442,0.02
-68,-67.387,0.02
-68.69,-67.31,0.02
-69.284,-67.284,0.02
-70,-67.191,0.02
-70.953,-67.047,0.02
-71.04,-67.04,0.02
-72,-66.869,0.02
-72.719,-66.719,0.02
-73.541,-66.459,0.02
-74,-66.345,0.02
-74.28,-66.28,0.02
-74.997,-66,0.02
-75.744,-65.744,0.02
-76,-65.608,0.02
-76.718,-65.282,0.02
-77.128,-65.128,0.02
-78,-64.601,0.02
-78.394,-64.394,0.02
-78.921,-64,0.02
-79.591,-63.591,0.02
-80,-63.238,0.02
-80.734,-62.734,0.02
-81.54,-62,0.02
-81.811,-61.811,0.02
-82,-61.631,0.02
-82.922,-60.922,0.02
-83.915,-60,0.02
-83.966,-59.966,0.02
-84,-59.936,0.02
-84.229,-59.771,0.02
-85.136,-59.136,0.02
-86,-58.415,0.02
-86.231,-58.231,0.02
-86.478,-58,0.02
-87.386,-57.386,0.02
-88,-56.91,0.02
-88.519,-56.519,0.02
-89.113,-56,0.02
-89.656,-55.656,0.02
-90,-55.387,0.02
-90.798,-54.798,0.02
-91.701,-54,0.02
-91.872,-53.872,0.02
-92,-53.758,0.02
-92.95,-52.95,0.02
-93.918,-52,0.02
-93.963,-51.963,0.02
-94,-51.925,0.02
-94.986,-51.014,0.02
-95.001,-51.001,0.02
-95.014,-50.986,0.02
-95.925,-50,0.02
-95.963,-49.963,0.02
-96,-49.921,0.02
-96.963,-48.963,0.02
-97.825,-48,0.02
-97.913,-47.913,0.02
-98,-47.815,0.02
-98.919,-46.919,0.02
-99.766,-46,0.02
-99.886,-45.886,0.02
-100,-45.763,0.02
-100.915,-44.915,0.02
-101.808,-44,0.02
-101.909,-43.909,0.02
-102,-43.817,0.02
-102.981,-42.981,0.02
-103.582,-42.418,0.02
-104,-42.028,0.02
-104.015,-42.015,0.02
-104.033,-42,0.02
-105.119,-41.119,0.02
-106,-40.262,0.02
-106.138,-40.138,0.02
-106.287,-40,0.02
-107.223,-39.223,0.02
-108,-38.452,0.02
-108.229,-38.229,0.02
-108.448,-38,0.02
-109.246,-37.246,0.02
-110,-36.418,0.02
-110.204,-36.204,0.02
-110.389,-36,0.02
-111.223,-35.223,0.02
-112,-34.385,0.02
-112.193,-34.193,0.02
-112.377,-34,0.02
-113.276,-33.276,0.02
-114,-32.579,0.02
-114.315,-32.315,0.02
-114.668,-32,0.02
-115.457,-31.457,0.02
-116,-31.005,0.02
-116.567,-30.567,0.02
-117.217,-30,0.02
-117.671,-29.671,0.02
-118,-29.385,0.02
-118.795,-28.795,0.02
-119.664,-28,0.02
-119.851,-27.851,0.02
-120,-27.702,0.02
-120.921,-26.921,0.02
-121.815,-26,0.02
-121.91,-25.91,0.02
-122,-25.803,0.02
-122.884,-24.884,0.02
-123.575,-24,0.02
-123.768,-23.768,0.02
-124,-23.443,0.02
-124.669,-22.669,0.02
-125.149,-22,0.02
-125.508,-21.508,0.02
-126,-20.678,0.02
-126.283,-20.283,0.02
-126.479,-20,0.02
-127.115,-19.115,0.02
-127.485,-18.515,0.02
-127.814,-18,0.02
-127.889,-17.889,0.02
-128,-17.704,0.02
-128.704,-16.704,0.02
-129.14,-16,0.02
-129.502,-15.502,0.02
-130,-14.642,0.02
-130.256,-14.256,0.02
-130.415,-14,0.02
-131.11,-13.11,0.02
-131.493,-12.507,0.02
-131.829,-12,0.02
-131.908,-11.908,0.02
-132,-11.769,0.02
-132.771,-10.771,0.02
-133.277,-10,0.02
-133.604,-9.604,0.02
-134,-8.999,0.02
-134.429,-8.429,0.02
-134.71,-8,0.02
-135.277,-7.277,0.02
-136,-6.145,0.02
-136.062,-6.062,0.02
-136.102,-6,0.02
-136.375,-5.625,0.02
-136.909,-4.909,0.02
-137.487,-4,0.02
-137.695,-3.695,0.02
-138,-3.2,0.02
-138.503,-2.503,0.02
-138.833,-2,0.02
-139.295,-1.295,0.02
-140,-0.087,0.02
-140.035,-0.035,0.02
-140.056,0,0.02
-140.138,0.138,0.02
-140.784,1.216,0.02
-141.236,2,0.02
-141.5,2.5,0.02
-142,3.544,0.02
-142.156,3.844,0.02
-142.237,4,0.02
-142.412,4.412,0.02
-142.766,5.234,0.02
-143.088,6,0.02
-143.31,6.69,0.02
-143.576,7.576,0.02
-143.708,8,0.02
-143.764,8.236,0.02
-144,9.295,0.02
-144.139,9.861,0.02
-144.178,10,0.02
-144.209,10.209,0.02
-144.404,11.596,0.02
-144.465,12,0.02
-144.52,12.52,0.02
-144.595,13.405,0.02
-144.661,14,0.02
-144.687,14.687,0.02
-144.695,15.305,0.02
-144.723,16,0.02
-144.738,16.738,0.02
-144.735,17.265,0.02
-144.752,18,0.02
-144.758,18.758,0.02
-144.748,19.252,0.02
-144.755,20,0.02
-144.735,20.735,0.02
-144.702,21.298,0.02
-144.683,22,0.02
-144.655,22.655,0.02
-144.592,23.408,0.02
-144.564,24,0.02
-144.53,24.53,0.02
-144.448,25.552,0.02
-144.418,26,0.02
-144.369,26.369,0.02
-144.119,27.881,0.02
-144.102,28,0.02
-144.081,28.081,0.02
-144,28.355,0.02
-143.596,29.596,0.02
-143.442,30,0.02
-142.981,30.981,0.02
-142.934,31.066,0.02
-142.445,32,0.02
-142.269,32.269,0.02
-142,32.619,0.02
-141.352,33.352,0.02
-140.703,34,0.02
-140.336,34.336,0.02
-140,34.582,0.02
-139.128,35.128,0.02
-138.468,35.532,0.02
-138,35.82,0.02
-137.881,35.881,0.02
-137.585,36,0.02
-136.442,36.442,0.02
-136,36.586,0.02
-135.153,36.847,0.02
-134.926,36.926,0.02
-134,37.181,0.02
-133.389,37.389,0.02
-132.351,37.649,0.02
-132,37.753,0.02
-131.819,37.819,0.02
-131.095,38,0.02
-130.242,38.242,0.02
-130,38.296,0.02
-129.576,38.424,0.02
-128.726,38.726,0.02
-128,38.914,0.02
-127.197,39.197,0.02
-126.68,39.32,0.02
-126,39.522,0.02
-125.654,39.654,0.02
-124.421,40,0.02
-124.112,40.112,0.02
-124,40.142,0.02
-123.796,40.204,0.02
-122.606,40.606,0.02
-122,40.773,0.02
-121.031,41.031,0.02
-120.953,41.047,0.02
-120,41.276,0.02
-119.406,41.406,0.02
-118.442,41.558,0.02
-118,41.645,0.02
-117.701,41.701,0.02
-116.058,41.942,0.02
-116,41.952,0.02
-115.957,41.957,0.02
-115.416,42,0.02
-114.134,42.134,0.02
-114,42.146,0.02
-113.847,42.153,0.02
-112.26,42.26,0.02
-112,42.272,0.02
-111.727,42.273,0.02
-110.281,42.281,0.02
-110,42.281,0.02
-109.732,42.268,0.02
-108.179,42.179,0.02
-108,42.171,0.02
-107.839,42.161,0.02
-106.033,42.033,0.02
-106,42.031,0.02
-105.97,42.03,0.02
-105.486,42,0.02
-104.063,41.937,0.02
-104,41.933,0.02
-103.931,41.931,0.02
-102.047,41.953,0.02
-102,41.951,0.02
-101.953,41.953,0.02
-101.474,42,0.02
-100.178,42.178,0.02
-100,42.214,0.02
-99.652,42.348,0.02
-98.68,42.68,0.02
-98,42.982,0.02
-97.382,43.382,0.02
-96.636,44,0.02
-96.341,44.341,0.02
-96,44.816,0.02
-95.579,45.579,0.02
-95.413,46,0.02
-95.264,46.736,0.02
-95.155,47.155,0.02
-95.007,48,0.02
-94.928,48.928,0.02
-94.927,49.073,0.02
-94.858,50,0.02
-94.811,50.811,0.02
-94.815,51.185,0.02
-94.773,52,0.02
-94.731,52.731,0.02
-94.719,53.281,0.02
-94.68,54,0.02
-94.625,54.625,0.02
-94.568,55.432,0.02
-94.52,56,0.02
-94.458,56.458,0.02
-94.316,57.684,0.02
-94.275,58,0.02
-94.243,58.243,0.02
-94.02,59.98,0.02
-94.017,60,0.02
-94.014,60.014,0.02
-94,60.083,0.02
-93.711,61.711,0.02
-93.658,62,0.02
-93.563,62.437,0.02
-93.39,63.39,0.02
-93.244,64,0.02
-92.994,64.994,0.02
-92.989,65.011,0.02
-92.719,66,0.02
-92.556,66.556,0.02
-92.106,67.894,0.02
-92.073,68,0.02
-92.057,68.057,0.02
-92,68.221,0.02
-91.543,69.543,0.02
-91.341,70,0.02
-90.947,70.947,0.02
-90.835,71.165,0.02
-90.434,72,0.02
-90.307,72.307,0.02
-90,72.947,0.02
-89.633,73.633,0.02
-89.386,74,0.02
-88.884,74.884,0.02
-88.319,75.681,0.02
-88.102,76,0.02
-88.066,76.066,0.02
-88,76.16,0.02
-87.089,77.089,0.02
-86.042,78,0.02
-86.022,78.022,0.02
-86,78.04,0.02
-85.945,78.055,0.02
-84.516,78.516,0.02
-84,78.638,0.02
-83.478,78.522,0.02
-82.255,78.255,0.02
-82,78.199,0.02
-81.888,78.112,0.02
-81.748,78,0.02
