phi,psi,number
180,115.633,0.001
179.92,115.92,0.001
179.905,116,0.001
179.888,116.112,0.001
179.588,117.588,0.001
179.533,118,0.001
179.482,118.518,0.001
179.364,119.364,0.001
179.307,120,0.001
179.206,120.794,0.001
179.145,121.145,0.001
179.047,122,0.001
178.898,122.898,0.001
178.879,123.121,0.001
178.752,124,0.001
178.599,124.599,0.001
178.41,125.59,0.001
178.316,126,0.001
178.256,126.256,0.001
178,127.329,0.001
177.787,127.787,0.001
177.73,128,0.001
177.639,128.361,0.001
177.338,129.338,0.001
177.195,130,0.001
176.985,130.985,0.001
176.978,131.022,0.001
176.779,132,0.001
176.619,132.619,0.001
176.403,133.597,0.001
176.305,134,0.001
176.245,134.245,0.001
176,135.397,0.001
175.841,135.841,0.001
175.805,136,0.001
175.759,136.241,0.001
175.482,137.482,0.001
175.391,138,0.001
175.301,138.699,0.001
175.216,139.216,0.001
175.123,140,0.001
174.988,140.988,0.001
174.985,141.015,0.001
174.858,142,0.001
174.686,142.686,0.001
174.553,143.447,0.001
174.431,144,0.001
174.291,144.291,0.001
174,145.121,0.001
173.667,145.667,0.001
173.558,146,0.001
173.2,146.8,0.001
173.064,147.064,0.001
172.736,148,0.001
172.46,148.46,0.001
172,149.46,0.001
171.759,149.759,0.001
171.658,150,0.001
171.435,150.565,0.001
171.16,151.16,0.001
170.896,152,0.001
170.63,152.63,0.001
170.325,153.675,0.001
170.211,154,0.001
170.155,154.155,0.001
170,154.693,0.001
169.581,155.581,0.001
169.471,156,0.001
169.357,156.643,0.001
169.215,157.215,0.001
169.098,158,0.001
169.051,158.949,0.001
169.045,159.045,0.001
168.999,160,0.001
169.015,160.985,0.001
169.016,161.016,0.001
169.032,162,0.001
169.071,162.929,0.001
169.079,163.079,0.001
169.118,164,0.001
169.192,164.808,0.001
169.259,165.259,0.001
169.335,166,0.001
169.365,166.635,0.001
169.422,167.422,0.001
169.451,168,0.001
169.463,168.537,0.001
169.48,169.48,0.001
169.492,170,0.001
169.494,170.506,0.001
169.498,171.498,0.001
169.501,172,0.001
169.511,172.489,0.001
169.548,173.548,0.001
169.558,174,0.001
169.599,174.401,0.001
169.831,175.831,0.001
169.85,176,0.001
169.872,176.128,0.001
170,176.552,0.001
170.206,177.794,0.001
170.256,178,0.001
170.353,178.353,0.001
170.58,179.42,0.001
170.77,180,0.001

