phi,psi,number
55.707,-124,0.02
55.806,-124.194,0.02
56,-124.703,0.02
56.254,-125.746,0.02
56.303,-126,0.02
56.287,-126.287,0.02
56.237,-127.763,0.02
56.224,-128,0.02
56.175,-128.175,0.02
56,-128.822,0.02
55.657,-129.657,0.02
55.506,-130,0.02
54.859,-130.859,0.02
54,-131.87,0.02
53.895,-131.895,0.02
53.372,-132,0.02
52.203,-132.203,0.02
52,-132.232,0.02
51.852,-132.148,0.02
51.589,-132,0.02
50.644,-131.356,0.02
50,-130.871,0.02
49.662,-130.338,0.02
49.452,-130,0.02
49.161,-129.161,0.02
49.076,-128.924,0.02
48.769,-128,0.02
48.782,-127.218,0.02
48.786,-126.786,0.02
48.8,-126,0.02
49.138,-125.138,0.02
49.365,-124.635,0.02
49.637,-124,0.02
49.792,-123.792,0.02
50,-123.528,0.02
50.921,-122.921,0.02
51.333,-122.667,0.02
52,-122.248,0.02
52.273,-122.273,0.02
53.659,-122.341,0.02
54,-122.375,0.02
54.874,-123.126,0.02
55.707,-124,0.02
