phi,psi,number
-56.412,180,0.001
-56.178,179.822,0.001
-56,179.602,0.001
-55.199,178.801,0.001
-54.598,178,0.001
-54.294,177.706,0.001
-54,177.203,0.001
-53.399,176.601,0.001
-52.931,176,0.001
-52.399,175.601,0.001
-52,174.953,0.001
-51.519,174.481,0.001
-51.153,174,0.001
-50.519,173.481,0.001
-50,172.703,0.001
-49.633,172.367,0.001
-49.351,172,0.001
-48.601,171.399,0.001
-48,170.649,0.001
-47.629,170.371,0.001
-47.297,170,0.001
-46.571,169.429,0.001
-46,168.755,0.001
-45.571,168.429,0.001
-45.18,168,0.001
-44.522,167.478,0.001
-44,166.869,0.001
-43.531,166.469,0.001
-43.131,166,0.001
-42.543,165.457,0.001
-42,164.708,0.001
-41.654,164.346,0.001
-41.449,164,0.001
-40.879,163.121,0.001
-40.571,162.571,0.001
-40.238,162,0.001
-40.143,161.857,0.001
-40,161.49,0.001
-39.485,160.515,0.001
-39.255,160,0.001
-38.878,159.122,0.001
-38.757,158.757,0.001
-38.473,158,0.001
-38.312,157.688,0.001
-38,156.624,0.001
-37.817,156.183,0.001
-37.771,156,0.001
-37.673,155.673,0.001
-37.382,154.618,0.001
-37.183,154,0.001
-36.771,153.229,0.001
-36.605,152.605,0.001
-36.378,152,0.001
-36.238,151.762,0.001
-36,151.159,0.001
-35.551,150.449,0.001
-35.386,150,0.001
-34.773,149.227,0.001
-34.184,148.184,0.001
-34.071,148,0.001
-34.046,147.954,0.001
-34,147.857,0.001
-33.222,146.778,0.001
-32.762,146,0.001
-32.409,145.591,0.001
-32,144.803,0.001
-31.612,144.388,0.001
-31.375,144,0.001
-30.75,143.25,0.001
-30.202,142.202,0.001
-30.083,142,0.001
-30.055,141.945,0.001
-30,141.791,0.001
-29.302,140.698,0.001
-28.832,140,0.001
-28.435,139.565,0.001
-28,138.724,0.001
-27.69,138.31,0.001
-27.483,138,0.001
-27.012,137.012,0.001
-27.005,136.995,0.001
-26.481,136,0.001
-26.237,135.763,0.001
-26,135.297,0.001
-25.518,134.482,0.001
-25.233,134,0.001
-24.905,133.095,0.001
-24.714,132.714,0.001
-24.396,132,0.001
-24.193,131.807,0.001
-24,131.405,0.001
-23.525,130.475,0.001
-23.297,130,0.001
-23.036,129.036,0.001
-23.023,128.977,0.001
-22.721,128,0.001
-22.42,127.58,0.001
-22,126.624,0.001
-21.782,126.218,0.001
-21.673,126,0.001
-21.527,125.527,0.001
-21.268,124.732,0.001
-21.052,124,0.001
-20.841,123.159,0.001
-20.677,122.677,0.001
-20.481,122,0.001
-20.358,121.642,0.001
-20.065,120.065,0.001
-20.047,120,0.001
-20.039,119.961,0.001
-20,119.716,0.001
