phi,psi,number
-55.419,-26,0.02
-54.303,-26.303,0.02
-54,-26.422,0.02
-53.226,-26.774,0.02
-52.894,-26.894,0.02
-52,-27.465,0.02
-51.665,-27.665,0.02
-51.339,-28,0.02
-50.463,-28.463,0.02
-50,-28.92,0.02
-49.377,-29.377,0.02
-48.909,-30,0.02
-48.374,-30.374,0.02
-48,-30.898,0.02
-47.404,-31.404,0.02
-47.033,-32,0.02
-46.467,-32.467,0.02
-46,-33.296,0.02
-45.624,-33.624,0.02
-45.398,-34,0.02
-44.634,-34.634,0.02
-44,-35.913,0.02
-43.953,-35.953,0.02
-43.925,-36,0.02
-42.893,-36.893,0.02
-42.719,-37.281,0.02
-42.298,-38,0.02
-42.152,-38.152,0.02
-42,-38.466,0.02
-41.202,-39.202,0.02
-40.741,-40,0.02
-40.397,-40.397,0.02
-40,-41.309,0.02
-39.656,-41.656,0.02
-39.469,-42,0.02
-38.869,-42.869,0.02
-38.73,-43.27,0.02
-38.396,-44,0.02
-38.264,-44.264,0.02
-38,-45.191,0.02
-37.687,-45.687,0.02
-37.566,-46,0.02
-37.36,-46.64,0.02
-37.158,-47.158,0.02
-36.938,-48,0.02
-36.818,-48.818,0.02
-36.771,-49.229,0.02
-36.665,-50,0.02
-36.68,-50.68,0.02
-36.671,-51.329,0.02
-36.687,-52,0.02
-36.839,-52.839,0.02
-36.87,-53.13,0.02
-37.06,-54,0.02
-37.284,-54.716,0.02
-37.887,-55.887,0.02
-37.935,-56,0.02
-37.956,-56.044,0.02
-38,-56.098,0.02
-38.619,-57.381,0.02
-39.162,-58,0.02
-39.516,-58.484,0.02
-40,-58.874,0.02
-40.531,-59.469,0.02
-41.417,-60,0.02
-41.723,-60.277,0.02
-42,-60.419,0.02
-42.969,-61.031,0.02
-43.061,-61.061,0.02
-44,-61.469,0.02
-44.357,-61.643,0.02
-45.789,-62,0.02
-45.933,-62.067,0.02
-46,-62.085,0.02
-46.119,-62.119,0.02
-47.417,-62.583,0.02
-48,-62.716,0.02
-48.931,-62.931,0.02
-49.037,-62.963,0.02
-50,-63.147,0.02
-50.67,-63.33,0.02
-51.457,-63.457,0.02
-52,-63.581,0.02
-52.307,-63.693,0.02
-53.754,-64,0.02
-53.924,-64.076,0.02
-54,-64.098,0.02
-54.148,-64.148,0.02
-55.351,-64.649,0.02
-56,-64.825,0.02
-56.92,-65.08,0.02
-57.111,-65.111,0.02
-58,-65.318,0.02
-58.588,-65.412,0.02
-59.516,-65.516,0.02
-60,-65.587,0.02
-60.403,-65.597,0.02
-61.637,-65.637,0.02
-62,-65.646,0.02
-62.391,-65.609,0.02
-63.568,-65.568,0.02
-64,-65.521,0.02
-64.612,-65.388,0.02
-65.297,-65.297,0.02
-66,-65.108,0.02
-66.832,-64.832,0.02
-67.551,-64.449,0.02
-68,-64.247,0.02
-68.17,-64.17,0.02
-68.398,-64,0.02
-69.486,-63.486,0.02
-70,-63.05,0.02
-70.63,-62.63,0.02
-71.206,-62,0.02
-71.653,-61.653,0.02
-72,-61.185,0.02
-72.62,-60.62,0.02
-73.036,-60,0.02
-73.475,-59.475,0.02
-74,-58.435,0.02
-74.198,-58.198,0.02
-74.298,-58,0.02
-74.784,-57.216,0.02
-74.959,-56.959,0.02
-75.393,-56,0.02
-75.61,-55.61,0.02
-76,-54.487,0.02
-76.19,-54.19,0.02
-76.268,-54,0.02
-76.483,-53.517,0.02
-76.831,-52.831,0.02
-77.127,-52,0.02
-77.363,-51.363,0.02
-77.59,-50.41,0.02
-77.716,-50,0.02
-77.776,-49.776,0.02
-78,-48.641,0.02
-78.176,-48.176,0.02
-78.222,-48,0.02
-78.263,-47.737,0.02
-78.488,-46.488,0.02
-78.561,-46,0.02
-78.575,-45.425,0.02
-78.592,-44.592,0.02
-78.608,-44,0.02
-78.542,-43.458,0.02
-78.365,-42.365,0.02
-78.317,-42,0.02
-78.25,-41.75,0.02
-78,-41.137,0.02
-77.775,-40.225,0.02
-77.69,-40,0.02
-77.456,-39.456,0.02
-77.223,-38.777,0.02
-76.769,-38,0.02
-76.494,-37.506,0.02
-76,-36.921,0.02
-75.676,-36.324,0.02
-75.389,-36,0.02
-74.816,-35.184,0.02
-74,-34.41,0.02
-73.833,-34.167,0.02
-73.641,-34,0.02
-72.903,-33.097,0.02
-72,-32.362,0.02
-71.835,-32.165,0.02
-71.604,-32,0.02
-70.844,-31.156,0.02
-70,-30.527,0.02
-69.751,-30.249,0.02
-69.393,-30,0.02
-68.703,-29.297,0.02
-68,-28.841,0.02
-67.549,-28.451,0.02
-66.737,-28,0.02
-66.345,-27.655,0.02
-66,-27.468,0.02
-65.096,-26.904,0.02
-64.805,-26.805,0.02
-64,-26.452,0.02
-63.684,-26.316,0.02
-62.545,-26,0.02
-62.175,-25.825,0.02
-62,-25.777,0.02
-61.736,-25.736,0.02
-60.528,-25.472,0.02
-60,-25.401,0.02
-59.4,-25.4,0.02
-58.629,-25.371,0.02
-58,-25.37,0.02
-57.452,-25.452,0.02
-56.315,-25.685,0.02
-56,-25.737,0.02
-55.803,-25.803,0.02
-55.419,-26,0.02
