phi,psi,number
-56.648,180,0.001
-56.314,179.686,0.001
-56,178.964,0.001
-55.586,178.414,0.001
-55.312,178,0.001
-54.607,177.393,0.001
-54,176.164,0.001
-53.926,176.074,0.001
-53.887,176,0.001
-52.936,175.064,0.001
-52.771,174.771,0.001
-52.277,174,0.001
-52.124,173.876,0.001
-52,173.602,0.001
-51.229,172.771,0.001
-50.718,172,0.001
-50.357,171.643,0.001
-50,170.694,0.001
-49.701,170.299,0.001
-49.551,170,0.001
-48.864,169.136,0.001
-48.64,168.64,0.001
-48.295,168,0.001
-48.162,167.838,0.001
-48,167.079,0.001
-47.644,166.356,0.001
-47.507,166,0.001
-46.879,165.121,0.001
-46.74,164.74,0.001
-46.391,164,0.001
-46.207,163.793,0.001
-46,162.909,0.001
-45.661,162.339,0.001
-45.52,162,0.001
-44.842,161.158,0.001
-44.669,160.669,0.001
-44.345,160,0.001
-44.187,159.813,0.001
-44,158.964,0.001
-43.64,158.36,0.001
-43.506,158,0.001
-42.932,157.068,0.001
-42.871,156.871,0.001
-42.504,156,0.001
-42.312,155.688,0.001
-42,154.404,0.001
-41.853,154.147,0.001
-41.814,154,0.001
-41.498,153.498,0.001
-41.1,152.9,0.001
-40.64,152,0.001
-40.362,151.638,0.001
-40,150.464,0.001
-39.807,150.193,0.001
-39.719,150,0.001
-38.945,149.055,0.001
-38.851,148.851,0.001
-38.382,148,0.001
-38.21,147.79,0.001
-38,147.108,0.001
-37.535,146.465,0.001
-37.273,146,0.001
-36.768,145.232,0.001
-36.545,144.545,0.001
-36.307,144,0.001
-36.199,143.801,0.001
-36,142.948,0.001
-35.702,142.298,0.001
-35.598,142,0.001
-35.336,141.336,0.001
-35.135,140.865,0.001
-34.83,140,0.001
-34.634,139.366,0.001
-34.538,138.538,0.001
-34.415,138,0.001
-34.298,137.702,0.001
-34,136.273,0.001
-33.917,136.083,0.001
-33.891,136,0.001
-33.848,135.848,0.001
-33.439,134.561,0.001
-33.295,134,0.001
-32.95,133.05,0.001
-32.916,132.916,0.001
-32.634,132,0.001
-32.538,131.462,0.001
-32.44,130.44,0.001
-32.372,130,0.001
-32.345,129.655,0.001
-32.216,128.215,0.001
-32.198,128,0.001
-32.203,127.797,0.001
-32.203,126.203,0.001
-32.208,126,0.001
-32.213,125.787,0.001
-32.213,124.213,0.001
-32.218,124,0.001
-32.264,123.736,0.001
-32.344,122.344,0.001
-32.424,122,0.001
-32.579,121.421,0.001
-32.691,120.691,0.001
-32.942,120,0.001
-33.154,119.154,0.001
-33.313,118.687,0.001
-33.512,118,0.001
-33.663,117.663,0.001
-34,116.97,0.001
-34.246,116.246,0.001
-34.436,116,0.001
-35.007,115.007,0.001
-35.065,114.935,0.001
-35.782,114,0.001
-35.879,113.879,0.001
-36,113.727,0.001
-36.648,112.648,0.001
-37.481,112,0.001
-37.745,111.745,0.001
-38,111.515,0.001
-38.659,110.659,0.001
-39.748,110,0.001
-39.887,109.887,0.001
-40,109.808,0.001
-40.595,109.405,0.001
-41.059,109.059,0.001
-42,108.643,0.001
-42.372,108.372,0.001
-43.287,108,0.001
-43.719,107.719,0.001
-44,107.579,0.001
-44.742,107.258,0.001
-45.088,107.088,0.001
-46,106.768,0.001
-46.518,106.518,0.001
-47.688,106.312,0.001
-48,106.213,0.001
-48.171,106.171,0.001
-48.97,106,0.001
-49.701,105.701,0.001
-50,105.579,0.001
-50.618,105.382,0.001
-51.198,105.198,0.001
-52,104.942,0.001
-52.56,104.56,0.001
-53.957,104.043,0.001
-54,104.023,0.001
-54.016,104.016,0.001
-54.061,104,0.001
-55.154,103.154,0.001
-56,102.546,0.001
