phi,psi,number
-83.64,16,0.02
-82.425,15.575,0.02
-82,15.422,0.02
-81.13,14.87,0.02
-80.299,14.299,0.02
-80,14.097,0.02
-79.947,14.053,0.02
-79.899,14,0.02
-78.832,13.168,0.02
-78,12.469,0.02
-77.754,12.246,0.02
-77.546,12,0.02
-76.722,11.278,0.02
-76,10.548,0.02
-75.728,10.272,0.02
-75.505,10,0.02
-74.707,9.293,0.02
-74,8.545,0.02
-73.721,8.279,0.02
-73.478,8,0.02
-72.658,7.342,0.02
-72,6.698,0.02
-71.625,6.375,0.02
-71.282,6,0.02
-70.545,5.455,0.02
-70,4.968,0.02
-69.446,4.554,0.02
-68.884,4,0.02
-68.338,3.662,0.02
-68,3.409,0.02
-67.143,2.857,0.02
-66.15,2,0.02
-66.054,1.946,0.02
-66,1.902,0.02
-65.745,1.745,0.02
-64.79,1.21,0.02
-64,0.549,0.02
-63.671,0.329,0.02
-63.34,0,0.02
-62.527,-0.527,0.02
-62,-1.089,0.02
-61.496,-1.496,0.02
-61.069,-2,0.02
-60.473,-2.473,0.02
-60,-3.108,0.02
-59.542,-3.542,0.02
-59.23,-4,0.02
-58.592,-4.592,0.02
-58,-5.534,0.02
-57.772,-5.772,0.02
-57.646,-6,0.02
-56.817,-6.817,0.02
-56.312,-7.688,0.02
-56.108,-8,0.02
-56.051,-8.051,0.02
-56,-8.139,0.02
-55.081,-9.081,0.02
-54.537,-10,0.02
-54.266,-10.266,0.02
-54,-10.794,0.02
-53.418,-11.418,0.02
-53.131,-12,0.02
-52.612,-12.612,0.02
-52.046,-13.954,0.02
-52.021,-14,0.02
-52.012,-14.012,0.02
-52,-14.041,0.02
-51.094,-15.094,0.02
-50.641,-16,0.02
-50.355,-16.355,0.02
-50,-17.252,0.02
-49.642,-17.642,0.02
-49.47,-18,0.02
-48.821,-18.821,0.02
-48.585,-19.415,0.02
-48.289,-20,0.02
-48.165,-20.165,0.02
-48,-20.584,0.02
-47.349,-21.349,0.02
-47.039,-22,0.02
-46.63,-22.63,0.02
-46.188,-23.812,0.02
-46.101,-24,0.02
-46.062,-24.062,0.02
-46,-24.24,0.02
-45.271,-25.271,0.02
-44.96,-26,0.02
-44.615,-26.615,0.02
-44.252,-27.748,0.02
-44.148,-28,0.02
-44.094,-28.094,0.02
-44,-28.405,0.02
-43.395,-29.395,0.02
-43.18,-30,0.02
-42.805,-30.805,0.02
-42.668,-31.332,0.02
-42.433,-32,0.02
-42.287,-32.287,0.02
-42,-33.457,0.02
-41.806,-33.806,0.02
-41.745,-34,0.02
-41.527,-34.473,0.02
-41.155,-35.155,0.02
-40.872,-36,0.02
-40.617,-36.617,0.02
-40.384,-37.616,0.02
-40.261,-38,0.02
-40.192,-38.192,0.02
-40,-39.054,0.02
-39.676,-39.676,0.02
-39.569,-40,0.02
-39.317,-40.683,0.02
-39.13,-41.13,0.02
-38.854,-42,0.02
-38.689,-42.689,0.02
-38.535,-43.465,0.02
-38.415,-44,0.02
-38.355,-44.355,0.02
-38.045,-45.955,0.02
-38.037,-46,0.02
-38.035,-46.035,0.02
-38,-46.377,0.02
-37.781,-47.781,0.02
-37.748,-48,0.02
-37.749,-48.251,0.02
-37.849,-49.849,0.02
-37.849,-50,0.02
-37.873,-50.127,0.02
-38,-50.56,0.02
-38.251,-51.749,0.02
-38.335,-52,0.02
-38.635,-52.635,0.02
-38.833,-53.167,0.02
-39.411,-54,0.02
-39.659,-54.341,0.02
-40,-54.664,0.02
-40.627,-55.373,0.02
-41.495,-56,0.02
-41.766,-56.234,0.02
-42,-56.375,0.02
-42.762,-56.762,0.02
-43.063,-56.937,0.02
-44,-57.29,0.02
-44.541,-57.459,0.02
-45.681,-57.681,0.02
-46,-57.765,0.02
-46.208,-57.792,0.02
-47.903,-57.903,0.02
-48,-57.914,0.02
-48.086,-57.914,0.02
-49.869,-57.869,0.02
-50,-57.868,0.02
-50.151,-57.849,0.02
-51.683,-57.683,0.02
-52,-57.642,0.02
-52.44,-57.56,0.02
-53.401,-57.401,0.02
-54,-57.284,0.02
-54.992,-57.008,0.02
-55.005,-57.005,0.02
-56,-56.665,0.02
-56.479,-56.479,0.02
-57.438,-56,0.02
-57.875,-55.875,0.02
-58,-55.819,0.02
-58.331,-55.669,0.02
-59.304,-55.304,0.02
